wavelength_nm,irradiance
763.31,4.87014000E+14
763.32,4.87003000E+14
763.33,4.87001000E+14
763.34,4.87003000E+14
763.35,4.87008000E+14
763.36,4.87012000E+14
763.37,4.87012000E+14
763.38,4.87004000E+14
763.39,4.86989000E+14
763.40,4.86971000E+14
763.41,4.86959000E+14
763.42,4.86955000E+14
763.43,4.86957000E+14
763.44,4.86962000E+14
763.45,4.86962000E+14
763.46,4.86939000E+14
763.47,4.86835000E+14
763.48,4.86535000E+14
763.49,4.85927000E+14
763.50,4.85065000E+14
763.51,4.84220000E+14
763.52,4.83604000E+14
763.53,4.83067000E+14
763.54,4.82278000E+14
763.55,4.81245000E+14
763.56,4.80445000E+14
763.57,4.80267000E+14
763.58,4.80496000E+14
763.59,4.80604000E+14
763.60,4.80512000E+14
763.61,4.80770000E+14
763.62,4.81830000E+14
763.63,4.83405000E+14
763.64,4.84787000E+14
763.65,4.85587000E+14
763.66,4.85907000E+14
763.67,4.86012000E+14
763.68,4.86071000E+14
